"PropertyNamespacePrefix","PropertyName","QualifiedProperty","IsElement","IsAbstract","Keywords","ExampleContent","UsageInfo","Definition","TypeNamespacePrefix","TypeName","QualifiedType","SubstitutionGroupPropertyNamespacePrefix","SubstitutionGroupPropertyName","SubstitutionGroupQualifiedProperty"
"hs","WagesGrossPayAmount","hs:WagesGrossPayAmount",1,0,"","","","An amount of an employee's pay of any kind before any deductions are made by the employer.","nc","AmountType","nc:AmountType",,,
"hs","WagesPayBasicCode","hs:WagesPayBasicCode",1,0,"","","","A code indicating the type of wages.","nc","TextType","nc:TextType",,,
"hs","WagesPayGradeCode","hs:WagesPayGradeCode",1,0,"","","","A classification of the pay grade.","nc","TextType","nc:TextType",,,
"hs","WagesPayPeriodEndDate","hs:WagesPayPeriodEndDate",1,0,"","","","A last date wages are included in a payment.","nc","DateType","nc:DateType",,,
"hs","WagesPayPlanCode","hs:WagesPayPlanCode",1,0,"","","","A code indicating the pay plan.","nc","TextType","nc:TextType",,,
"hs","WagesPayrollOfficeNumberText","hs:WagesPayrollOfficeNumberText",1,0,"","","","A description of the office where payroll is administered.","nc","TextType","nc:TextType",,,
"hs","WagesPayStatusCode","hs:WagesPayStatusCode",1,0,"","","","A code indicating the status of payment of wages.","nc","TextType","nc:TextType",,,
"hs","WagesPayStepText","hs:WagesPayStepText",1,0,"","","","A description of the wage ranges for pay grades.","nc","TextType","nc:TextType",,,
"hs","WagesRetiredPayEntitlementEffectiveDate","hs:WagesRetiredPayEntitlementEffectiveDate",1,0,"","","","A date retirement entitlement pay was effective.","nc","DateType","nc:DateType",,,
"hs","WagesStateTaxableAmount","hs:WagesStateTaxableAmount",1,0,"","","","An amount of wages subject to state tax.","nc","AmountType","nc:AmountType",,,
"hs","WagesStateTaxWithheldAmount","hs:WagesStateTaxWithheldAmount",1,0,"","","","An amount of state tax withheld.","nc","AmountType","nc:AmountType",,,
"hs","WagesTotalBasePayAllDrillsAmount","hs:WagesTotalBasePayAllDrillsAmount",1,0,"","","","A total amount of all military wages from all sources.","nc","AmountType","nc:AmountType",,,
"im","AcademicProgramText","im:AcademicProgramText",1,0,,,,"A field detailing the alien students academic program.","nc","TextType","nc:TextType",,,
"im","AcademicTermLengthQuantity","im:AcademicTermLengthQuantity",1,0,"","","","A number of the estimated time (duration) of an alien students academic-term.","nc","QuantityType","nc:QuantityType",,,
"im","ActualDeportationDate","im:ActualDeportationDate",1,0,"","","","A date on which the alien was deported from the United States.","nc","DateType","nc:DateType",,,
"im","ActualReleaseDate","im:ActualReleaseDate",1,0,"","","","A date on which the alien was released from a detention facility.","nc","DateType","nc:DateType",,,
"im","AdmissionIdentification","im:AdmissionIdentification",1,0,"","","","An identification of an alien I-94 admission.","nc","IdentificationType","nc:IdentificationType",,,
"im","AlertClassCategoryText","im:AlertClassCategoryText",1,0,,"Class 1=Officer Safety, Class 2=Smuggler, Class 3=Removed Aliens, and Class 4=Other Agency",,"A kind of grouping of the alien alert.","nc","TextType","nc:TextType",,,
"im","AlertDescriptionText","im:AlertDescriptionText",1,0,"","","","A description of an alien alert.","nc","TextType","nc:TextType",,,
"im","AlertGeneratingOfficerBadgeIdentification","im:AlertGeneratingOfficerBadgeIdentification",1,0,"","","","A field indicating the badge identification of the DHS Immigration and Customs Enforcement (ICE) person generating the alien alert transaction.","nc","IdentificationType","nc:IdentificationType",,,
"im","AlertWarningIndicator","im:AlertWarningIndicator",1,0,,,,"True if there is an alert warning associated with an alien; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienAlert","im:AlienAlert",1,0,"","","","An alert for the Department of Homeland Security (DHS), Immigration and Customs Enforcement (ICE) if the alien has been formally removed from the U.S. or could pose a risk based on safety or other factors.","im","AlienAlertType","im:AlienAlertType",,,
"im","AlienAlertAugmentationPoint","im:AlienAlertAugmentationPoint",1,1,"","","","An augmentation point for AlienAlertType.",,,,,,
"im","AlienAsylumRequestIndicator","im:AlienAsylumRequestIndicator",1,0,"","","","True if the encounter is with an alien seeking asylum; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienBorderCrossingIndicator","im:AlienBorderCrossingIndicator",1,0,"","","","True if the encounter is with an alien crossing the border; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienCautionMedicalConditionCode","im:AlienCautionMedicalConditionCode",1,0,,,,"A number indicating the code for alien persons medical condition that the DHS Immigration Customs Enforcement (ICE) officer should be cautious of.","scr","PersonMedicalConditionStatusCategoryCodeType","scr:PersonMedicalConditionStatusCategoryCodeType",,,
"im","AlienCustodyCategoryDescriptionText","im:AlienCustodyCategoryDescriptionText",1,0,"","","","A description of the code assigned to each kind of alien person custody.","nc","TextType","nc:TextType",,,
"im","AlienCustodyCategoryText","im:AlienCustodyCategoryText",1,0,"","","","A number indicating a kind of custody of an alien person.","nc","TextType","nc:TextType",,,
"im","AlienDetentionEncounter","im:AlienDetentionEncounter",1,0,,,,"A period of temporary custody of an alien that precedes disposition by a COURT.","im","ImmigrationDetentionType","im:ImmigrationDetentionType",,,
"im","AlienEncounter","im:AlienEncounter",1,0,"","","","An interface between an alien person and the Department of Homeland Security (DHS), Immigration and Customs Enforcement (ICE) official.","im","AlienEncounterType","im:AlienEncounterType",,,
"im","AlienEncounterAugmentationPoint","im:AlienEncounterAugmentationPoint",1,1,"","","","An augmentation point for AlienEncounterType.",,,,,,
"im","AlienExchangeVisitorAdmissionAugmentationPoint","im:AlienExchangeVisitorAdmissionAugmentationPoint",1,1,"","","","An augmentation point for AlienExchangeVisitorAdmissionType.",,,,,,
"im","AlienExchangeVisitorProgram","im:AlienExchangeVisitorProgram",1,0,"","","","An educational or cultural program of study sponsored by an authorized institution in the United States and offered to non-immigrant aliens.","nc","ProgramType","nc:ProgramType",,,
"im","AlienExchangeVisitorRole","im:AlienExchangeVisitorRole",1,0,"","","","A non-immigrant alien who visits the United States to participate in either an educational or cultural exchange program that is approved by the United States Department of State.","im","AlienExchangeVisitorRoleType","im:AlienExchangeVisitorRoleType","im","NonImmigrantRole","im:NonImmigrantRole"
"im","AlienExchangeVisitorRoleAugmentationPoint","im:AlienExchangeVisitorRoleAugmentationPoint",1,1,"","","","An augmentation point for AlienExchangeVisitorRoleType.",,,,,,
"im","AlienFelonCategoryText","im:AlienFelonCategoryText",1,0,"","D=Drugs, N=None, B=Both drug and other felon convictions","","A kind of felony type.","nc","TextType","nc:TextType",,,
"im","AlienFelonDescriptionText","im:AlienFelonDescriptionText",1,0,,,,"A field indicating the description for the associated felony code.","nc","TextType","nc:TextType",,,
"im","AlienFile","im:AlienFile",1,0,,,,"A file containing detailed immigration information about an alien.","im","FileType","im:FileType",,,
"im","AlienIDDetails","im:AlienIDDetails",1,0,"","","","A documented identification of an alien.","im","AlienIDDetailsType","im:AlienIDDetailsType",,,
"im","AlienIDDetailsAugmentationPoint","im:AlienIDDetailsAugmentationPoint",1,1,"","","","An augmentation point for AlienIDDetailsType.",,,,,,
"im","AlienIncidentRoleDescriptionText","im:AlienIncidentRoleDescriptionText",1,0,"","","","A description of the role of the alien in the event.","nc","TextType","nc:TextType",,,
"im","AlienIncidentSequenceID","im:AlienIncidentSequenceID",1,0,"","","","An identifier indicating the sequence number associated with an encounter involving an alien.","niem-xs","string","niem-xs:string",,,
"im","AlienLocation","im:AlienLocation",1,0,"","","","A location of a Department of Homeland Security (DHS), Immigration and Customs Enforcement (ICE) office or site, alien, incident, offense or piece of property.","nc","LocationType","nc:LocationType",,,
"im","AlienLookoutIndicator","im:AlienLookoutIndicator",1,0,,,,"True if the encounter is with an enrolled alien who may be an aggravated felon, may be a suspected narcotics smuggler, has an active arrest warrant, or may be a national security risk; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienMandatoryDetentionIndicator","im:AlienMandatoryDetentionIndicator",1,0,,,,"True if detention is required for the alien; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienMatchCandidate","im:AlienMatchCandidate",1,0,"","","","A date of the confirmation of a candidates biometric match with an encountered alien.","im","AlienMatchCandidateType","im:AlienMatchCandidateType",,,
"im","AlienMatchCandidateAugmentationPoint","im:AlienMatchCandidateAugmentationPoint",1,1,"","","","An augmentation point for AlienMatchCandidateType.",,,,,,
"im","AlienMiscellaneousIdentification","im:AlienMiscellaneousIdentification",1,0,"","","","An identification of another method of identifying an alien.","nc","IdentificationType","nc:IdentificationType",,,
"im","AlienMiscellaneousNumberIDAugmentationPoint","im:AlienMiscellaneousNumberIDAugmentationPoint",1,1,"","","","An augmentation point for AlienMiscellaneousNumberIDType.",,,,,,
"im","AlienMiscellaneousNumberIdentification","im:AlienMiscellaneousNumberIdentification",1,0,"","","","An identification number that can be used to identify an alien.","im","AlienMiscellaneousNumberIDType","im:AlienMiscellaneousNumberIDType",,,
"im","AlienNumberIdentification","im:AlienNumberIdentification",1,0,"","","","An identification indicating a unique number assigned to an alien's file.","nc","IdentificationType","nc:IdentificationType",,,
"im","AlienPhotoIndicator","im:AlienPhotoIndicator",1,0,,,,"True if a photograph of the alien existed during encounter; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienPossessSSNIndicator","im:AlienPossessSSNIndicator",1,0,,,,"True if the alien had a Social Security Card in possession at the time of encounter; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienPriorDeportationIndicator","im:AlienPriorDeportationIndicator",1,0,,,,"True if the alien has been deported before; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienRecidivistIndicator","im:AlienRecidivistIndicator",1,0,,,,"True if the encounter is with a non-criminal alien who has a tendency to slip back into previously recorded criminal activities; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienRole","im:AlienRole",1,0,"","","","A foreign born person who is not a citizen of the United States.","im","AlienRoleType","im:AlienRoleType","im","PersonCountryRole","im:PersonCountryRole"
"im","AlienRoleAugmentationPoint","im:AlienRoleAugmentationPoint",1,1,"","","","An augmentation point for AlienRoleType.",,,,,,
"im","AlienSmuggledCostAmount","im:AlienSmuggledCostAmount",1,0,,,,"A cost associated with smuggling an alien to the United States.","nc","AmountType","nc:AmountType",,,
"im","AlienSmuggledIndicator","im:AlienSmuggledIndicator",1,0,,,,"True if the alien has been smuggled to the United Stated; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AlienSpecialClassCategoryText","im:AlienSpecialClassCategoryText",1,0,"","","","A kind of alien's person's special class category for detention purposes.","nc","TextType","nc:TextType",,,
"im","AlienSpecialClassCodeDescriptionText","im:AlienSpecialClassCodeDescriptionText",1,0,,,,"A field indicating the description for the associated special class code for alien person detention.","nc","TextType","nc:TextType",,,
"im","AlienStudentAdmission","im:AlienStudentAdmission",1,0,"","","","An entrance of a non-immigrant alien into full-time in an approved, accredited or certified United States educational or vocational program.","im","AlienStudentAdmissionType","im:AlienStudentAdmissionType",,,
"im","AlienStudentAdmissionAugmentationPoint","im:AlienStudentAdmissionAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentAdmissionType.",,,,,,
"im","AlienStudentAuthorization","im:AlienStudentAuthorization",1,0,"","","","An official authorization of a non-immigrant alien to participate as a student in an educational program in the United States.","im","AlienStudentAuthorizationType","im:AlienStudentAuthorizationType",,,
"im","AlienStudentAuthorizationAugmentationPoint","im:AlienStudentAuthorizationAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentAuthorizationType.",,,,,,
"im","AlienStudentAuthorizationToDropBelowFullTime","im:AlienStudentAuthorizationToDropBelowFullTime",1,0,"","","","An official authorization of a non-immigrant alien to lower his or her course load below that for full-time student status.","im","AlienStudentAuthorizationToDropBelowFullTimeType","im:AlienStudentAuthorizationToDropBelowFullTimeType",,,
"im","AlienStudentAuthorizationToDropBelowFullTimeAugmentationPoint","im:AlienStudentAuthorizationToDropBelowFullTimeAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentAuthorizationToDropBelowFullTimeType.",,,,,,
"im","AlienStudentDisciplinaryAction","im:AlienStudentDisciplinaryAction",1,0,"","","","An action taken against the non-immigrant alien student as a result of the violation of the rules of the student visa or educational program.","im","AlienStudentDisciplinaryActionType","im:AlienStudentDisciplinaryActionType",,,
"im","AlienStudentDisciplinaryActionAugmentationPoint","im:AlienStudentDisciplinaryActionAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentDisciplinaryActionType.",,,,,,
"im","AlienStudentEducation","im:AlienStudentEducation",1,0,"","","","An alien student's educational background and plans.","nc","EducationType","nc:EducationType",,,
"im","AlienStudentEmployment","im:AlienStudentEmployment",1,0,"","","","An employment of a non-immigrant alien participating in an authorized student or exchange visitor educational program.","im","AlienStudentEmploymentType","im:AlienStudentEmploymentType",,,
"im","AlienStudentEmploymentAugmentationPoint","im:AlienStudentEmploymentAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentEmploymentType.",,,,,,
"im","AlienStudentProgramExtensionRequest","im:AlienStudentProgramExtensionRequest",1,0,"","","","An official request by a non-immigrant alien student or exchange visitor to extend the time limit of the student or exchange visitor visa.","im","AlienStudentProgramExtensionRequestType","im:AlienStudentProgramExtensionRequestType",,,
"im","AlienStudentProgramExtensionRequestAugmentationPoint","im:AlienStudentProgramExtensionRequestAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentProgramExtensionRequestType.",,,,,,
"im","AlienStudentRole","im:AlienStudentRole",1,0,"","","","A non-immigrant alien enrolled full-time in an approved, accredited or certified United States educational or vocational program","im","AlienStudentRoleType","im:AlienStudentRoleType","im","NonImmigrantRole","im:NonImmigrantRole"
"im","AlienStudentRoleAugmentationPoint","im:AlienStudentRoleAugmentationPoint",1,1,"","","","An augmentation point for AlienStudentRoleType.",,,,,,
"im","AlienVoluntaryReturnIndicator","im:AlienVoluntaryReturnIndicator",1,0,,,,"True if the alien has a history of voluntarily returning to their home country prior to being deported; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","ArrivalDepartureNotProvidingReasonText","im:ArrivalDepartureNotProvidingReasonText",1,0,"","","","A reason for not providing arrival or departure at the border.","nc","TextType","nc:TextType",,,
"im","AttorneyRequestIndicator","im:AttorneyRequestIndicator",1,0,"","","","True if the alien exercised his or her right to request for counsel; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AttorneyRightsIndicator","im:AttorneyRightsIndicator",1,0,"","","","True if the alien was informed of his or her right to be represented by counsel; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","Authorization","im:Authorization",1,0,"","","","An official permission granted to a person to perform a task or function.","im","AuthorizationType","im:AuthorizationType",,,
"im","AuthorizationAugmentationPoint","im:AuthorizationAugmentationPoint",1,1,"","","","An augmentation point for AuthorizationType.",,,,,,
"im","AuthorizationDescriptionText","im:AuthorizationDescriptionText",1,0,"","","","A description of an authorization.","nc","TextType","nc:TextType",,,
"im","AuthorizationDropBelowFullTimeCategoryText","im:AuthorizationDropBelowFullTimeCategoryText",1,0,"","","","A kind of reason a student has dropped below full time status.","nc","TextType","nc:TextType",,,
"im","AuthorizationEndDate","im:AuthorizationEndDate",1,0,"","","","A date an authorization expires.","nc","DateType","nc:DateType",,,
"im","AuthorizationF1Indicator","im:AuthorizationF1Indicator",1,0,,,,"True if the authorization to drop below full time status pertains an academic student (F-1); false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AuthorizationFullResumptionDate","im:AuthorizationFullResumptionDate",1,0,"","","","A date on which an alien student resumes a full time academic schedule for enrolled program.","nc","DateType","nc:DateType",,,
"im","AuthorizationIdentification","im:AuthorizationIdentification",1,0,"","","","An identification of an authorization.","nc","IdentificationType","nc:IdentificationType",,,
"im","AuthorizationM1Indicator","im:AuthorizationM1Indicator",1,0,,,,"True if the authorization to drop below full time status pertains a vocational student (M-1); false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","AuthorizationRemarkText","im:AuthorizationRemarkText",1,0,,,,"A field indicating remarks regarding an authorization.","nc","TextType","nc:TextType",,,
"im","AuthorizationStartDate","im:AuthorizationStartDate",1,0,"","","","A date an authorization begins.","nc","DateType","nc:DateType",,,
"im","AuthorizationToDropBelowFullTime","im:AuthorizationToDropBelowFullTime",1,0,"","","","An authorization for an alien student to drop below full time status","im","AlienStudentAuthorizationToDropBelowFullTimeType","im:AlienStudentAuthorizationToDropBelowFullTimeType",,,
"im","BaggageReceiptNumberID","im:BaggageReceiptNumberID",1,0,"","","","An Identifier of the claim slip given to the alien to account for his personal belongings","niem-xs","string","niem-xs:string",,,
"im","BarracksCategoryText","im:BarracksCategoryText",1,0,"","","","A kind of living quarters of the alien who is being detained in a detention facility.","nc","TextType","nc:TextType",,,
"im","BeneficiaryReceivedOtherBenefits","im:BeneficiaryReceivedOtherBenefits",1,0,"","","","An other Beneficiary in the request that has received other benefits (reference to a person)","nc","PersonType","nc:PersonType",,,
"im","BeneficiaryReceivedOtherBenefitsCaseReceiptNumberIdentification","im:BeneficiaryReceivedOtherBenefitsCaseReceiptNumberIdentification",1,0,"","","","A USCIS receipt/case number identification of another benefit given to a beneficiary receiving the current benefit.","nc","IdentificationType","nc:IdentificationType",,,
"im","BenefitDeclarationAdditionalInformationText","im:BenefitDeclarationAdditionalInformationText",1,0,"","","","A text string containing the additional information provided in a declaration on a benefit request.","nc","TextType","nc:TextType",,,
"im","BenefitDeclarationOtherResponseText","im:BenefitDeclarationOtherResponseText",1,0,"","","","A text string containing the response provided to a free-form question on a benefit request.","nc","TextType","nc:TextType",,,
"im","BenefitDeclarationStatementText","im:BenefitDeclarationStatementText",1,0,"","","","A text string containing the statement provided in a declaration on a benefit request.","nc","TextType","nc:TextType",,,
"im","BenefitEvidenceCategoryAbstract","im:BenefitEvidenceCategoryAbstract",1,1,"","","","A data concept for evidence provided in support of a benefit request.",,,,,,
"im","BenefitEvidenceCategoryCode","im:BenefitEvidenceCategoryCode",1,0,"","","","A kind of evidence provided in support of a benefit request.","im","BenefitEvidenceCategoryCodeType","im:BenefitEvidenceCategoryCodeType","im","BenefitEvidenceCategoryAbstract","im:BenefitEvidenceCategoryAbstract"
"im","BenefitEvidenceCategoryText","im:BenefitEvidenceCategoryText",1,0,"","","","A kind of evidence provided in support of a benefit request,","nc","TextType","nc:TextType","im","BenefitEvidenceCategoryAbstract","im:BenefitEvidenceCategoryAbstract"
"im","BenefitEvidenceNotProvidedReasonText","im:BenefitEvidenceNotProvidedReasonText",1,0,"","","","A reason that evidence was not provided in support of a benefit request.","nc","TextType","nc:TextType",,,
"im","BenefitInsertionDate","im:BenefitInsertionDate",1,0,"","","","A date when the benefit application was inserted in the database","nc","DateType","nc:DateType",,,
"im","BenefitRequestPreparer","im:BenefitRequestPreparer",1,0,"","","","A Person that prepared the application","nc","PersonType","nc:PersonType",,,
"im","BenefitRequestSignatureDate","im:BenefitRequestSignatureDate",1,0,"","","","A date when the benefit request was signed.","nc","DateType","nc:DateType",,,
"im","BenefitRequestSignatureIndicator","im:BenefitRequestSignatureIndicator",1,0,"","","","True if the benefit request was signed; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","BinationalCommissionTotalFundingSupportAmount","im:BinationalCommissionTotalFundingSupportAmount",1,0,,,,"A number indicating the amount of funding provided to the Exchange Visitor (EV) by the Binational Commission of the Exchange Visitors home country, in order to support his/her participation in a designated EV Program.","nc","AmountType","nc:AmountType",,,
"im","BlindSightImpairedAccommodationText","im:BlindSightImpairedAccommodationText",1,0,"","","","A requested Sight accommodation for a disabled person.","nc","TextType","nc:TextType",,,
"im","BlindSightImpairedIndicator","im:BlindSightImpairedIndicator",1,0,"","","","True if the Applicant has a sight impairment; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","BookInOfficer","im:BookInOfficer",1,0,"","","","A Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) Employee who books in an alien.","im","ICEEmployeeType","im:ICEEmployeeType",,,
"im","BookOutOfficer","im:BookOutOfficer",1,0,"","","","A Department of Homeland Security (DHS) Immigration and Customs Enforcement (ICE) Employee who books out an alien.","im","ICEEmployeeType","im:ICEEmployeeType",,,
"im","CampusEmploymentFundsAmount","im:CampusEmploymentFundsAmount",1,0,,,,"A number indicating the total funds estimated to be earned by the alien student through on-campus employment.","nc","AmountType","nc:AmountType",,,
"im","ChainOfCustody","im:ChainOfCustody",1,0,,,"This may include information on which ICE employee took custody of the item, when did the custody take place, and what item is in custody.","A chain of custody of an item or exhibit.","im","ChainOfCustodyType","im:ChainOfCustodyType",,,
"im","ChainOfCustodyAugmentationPoint","im:ChainOfCustodyAugmentationPoint",1,1,"","","","An augmentation point for ChainOfCustodyType.",,,,,,
"im","ChainOfCustodyDescriptionText","im:ChainOfCustodyDescriptionText",1,0,"","","","A description of the chain of custody of an item (exhibit) in relation to which employee took custody, when they took custody, and what they took custody of.","nc","TextType","nc:TextType",,,
"im","ChainOfCustodyItemReceivedDate","im:ChainOfCustodyItemReceivedDate",1,0,"","","","A date on which the DHS Immigration and Customs Enforcement (ICE) officer assumed responsibility for an item (exhibit).","nc","DateType","nc:DateType",,,
"im","ChainOfCustodySequenceID","im:ChainOfCustodySequenceID",1,0,"","","","An identifier indicating the sequence number for an item (exhibit) under custody.","niem-xs","string","niem-xs:string",,,
"im","ChangeOfNonImmigrantStatusIndicator","im:ChangeOfNonImmigrantStatusIndicator",1,0,"","","","True if the requester would like a change of non immigrant status; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","CitizenRole","im:CitizenRole",1,0,"","","","a native or naturalized person who owes allegiance to a government and is entitled to protection from it","im","CitizenRoleType","im:CitizenRoleType","im","PersonCountryRole","im:PersonCountryRole"
"im","CitizenRoleAugmentationPoint","im:CitizenRoleAugmentationPoint",1,1,"","","","An augmentation point for CitizenRoleType.",,,,,,
"im","CitizenshipCertificateIdentification","im:CitizenshipCertificateIdentification",1,0,"","","","An identification number of the citizenship certificate issued to a biological or adopted child of a U.S. Citizen.","nc","IdentificationType","nc:IdentificationType",,,
"im","ConsulateNotifiedDate","im:ConsulateNotifiedDate",1,0,"","","","A date on which the consulate was notified of the D58 alien's detention.","nc","DateType","nc:DateType",,,
"im","ConsulateRightsIndicator","im:ConsulateRightsIndicator",1,0,"","","","True if the alien was informed of his/her right to contact his or her consulate; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","ContactMeansCode","im:ContactMeansCode",1,0,"","","","A description of how a contact will occur","im","ContactMeansCodeType","im:ContactMeansCodeType",,,
"im","ContactMeansReasonText","im:ContactMeansReasonText",1,0,"","","","A description of why contact was required","nc","TextType","nc:TextType",,,
"im","CountryAugmentation","im:CountryAugmentation",1,0,"","","","Additional information about a country.","im","CountryAugmentationType","im:CountryAugmentationType","nc","CountryAugmentationPoint","nc:CountryAugmentationPoint"
"im","CountryCapitalCityName","im:CountryCapitalCityName",1,0,"","","","A name of the capital city of a country.","nc","ProperNameTextType","nc:ProperNameTextType",,,
"im","CountryChargeabilityCountry","im:CountryChargeabilityCountry",1,0,"","","","A country to which an immigrant, in a numerically limited classification, can be charged by the U.S. Department of State for purposes of numerical control.","nc","CountryType","nc:CountryType",,,
"im","CountryDocumentIssuingAuthorityIndicator","im:CountryDocumentIssuingAuthorityIndicator",1,0,"","","","True if a country has the authority to issue documents (e.g. passports); false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","CountryFormerAllegianceCountry","im:CountryFormerAllegianceCountry",1,0,"","","","A country to which allegiance was held in the past but does not currently hold.","nc","CountryType","nc:CountryType",,,
"im","CountryHagueAdoptionConventionCountryIndicator","im:CountryHagueAdoptionConventionCountryIndicator",1,0,"","","","True if a country is a party to the Hague Adoption Convention; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","CountryIndigenousPeoplesIndicator","im:CountryIndigenousPeoplesIndicator",1,0,"","","","True if a country has a population of indigenous peoples; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","CountryLongFormName","im:CountryLongFormName",1,0,"","","","A conventional long form of the country's name as approved by the US Board on Geographic Names. (List of valid values)","nc","ProperNameTextType","nc:ProperNameTextType",,,
"im","CountryMotherCountry","im:CountryMotherCountry",1,0,"","","","A governing mother country of a dependent country.","nc","CountryType","nc:CountryType",,,
"im","CountryShortFormName","im:CountryShortFormName",1,0,"","","","A conventional short form of the country's name as approved by the US Board on Geographic Names.  (List of valid values)","nc","ProperNameTextType","nc:ProperNameTextType",,,
"im","CountrySovereigntyStatusCode","im:CountrySovereigntyStatusCode",1,0,"","","","A status of the authority over a geographic area by a nation with its own government.","im","SovereigntyStatusCodeType","im:SovereigntyStatusCodeType",,,
"im","CountryValidFromDate","im:CountryValidFromDate",1,0,"","","","A date on which the country officially was formed.","nc","DateType","nc:DateType",,,
"im","CountryValidToDate","im:CountryValidToDate",1,0,"","","","A date on which the country officially ceased to exist.","nc","DateType","nc:DateType",,,
"im","CurrentSessionEndDate","im:CurrentSessionEndDate",1,0,"","","","A date on which an alien students current academic session ends.","nc","DateType","nc:DateType",,,
"im","DeafHardHearingAccommodationText","im:DeafHardHearingAccommodationText",1,0,"","","","A requested hearing accommodation for a disabled person.","nc","TextType","nc:TextType",,,
"im","DeafHardHearingIndicator","im:DeafHardHearingIndicator",1,0,"","","","True if the Applicant has a hearing impairment; false otherwise","niem-xs","boolean","niem-xs:boolean",,,
"im","DepartMethodText","im:DepartMethodText",1,0,,,,"A field indicating the means by which the deportable alien will use to depart the United States.","nc","TextType","nc:TextType",,,
"im","DepartProofDescriptionText","im:DepartProofDescriptionText",1,0,"","","","A description of the evidence of removal of an alien from the country.","nc","TextType","nc:TextType",,,
"im","DepartProofText","im:DepartProofText",1,0,"","","","An evidence of removal of an alien from the country provided on the deportation document.","nc","TextType","nc:TextType",,,
"im","Dependent","im:Dependent",1,0,"","","","A person who is a dependent of another person.","nc","PersonType","nc:PersonType",,,
"im","DependentCategoryText","im:DependentCategoryText",1,0,"","01=Spouse and 02=Child","","A kind of dependent.","nc","TextType","nc:TextType",,,
"im","DependentCodeDescriptionText","im:DependentCodeDescriptionText",1,0,,,,"A field indicating the description for the associated dependent code.","nc","TextType","nc:TextType",,,
"im","DependentDistrictOfficerTerminatedF2Indicator","im:DependentDistrictOfficerTerminatedF2Indicator",1,0,,,,"True if the District Officer terminated the aliens dependent status to an academic student (F-2); false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","DependentDistrictOfficerTerminatedM2Indicator","im:DependentDistrictOfficerTerminatedM2Indicator",1,0,,,,"True if the District Officer terminated the aliens dependent status to a vocational student (M-2); false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","DependentExpensesEstimatedAmount","im:DependentExpensesEstimatedAmount",1,0,,,,"A number indicating the total expenses for all alien students dependents during the term.","nc","AmountType","nc:AmountType",,,
"im","DependentJ2CompletionIndicator","im:DependentJ2CompletionIndicator",1,0,,,,"True if an aliens dependent status to an exchange visitor (J-2) completed with no adversity; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","DependentJ2TerminationIndicator","im:DependentJ2TerminationIndicator",1,0,,,,"True if an exchange visitors dependent status to an exchange visitor (J-2) was terminated; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","DependentPrincipalDesignatedSchoolOfficialTerminatedF2Indicator","im:DependentPrincipalDesignatedSchoolOfficialTerminatedF2Indicator",1,0,,,,"True if the Principal Designated School Official (PDSO) or Designated School Official (DSO) terminated the dependent status of an alien to an academic student (F-2); false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
"im","DependentPrincipalDesignatedSchoolOfficialTerminatedM2Indicator","im:DependentPrincipalDesignatedSchoolOfficialTerminatedM2Indicator",1,0,,,,"True if a Principal Designated School Official (PDSO) or Designated School Official (DSO) terminated the aliens dependent status (M-2) to a vocational student; false otherwise.","niem-xs","boolean","niem-xs:boolean",,,
